_id,flight_iata,flight_icao,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,arr_iata,arr_icao,arr_time,status,duration,delayed,__v
63189a58ddaca31c0f993e65,LY311,ELY311,TLV,LLBG,3,,2022-09-08 05:00,LTN,EGGW,2022-09-08 08:25,scheduled,325,0,0
63189a58ddaca31c0f993e66,LO152,LOT152,TLV,LLBG,3,,2022-09-08 05:05,WAW,EPWA,2022-09-08 08:10,scheduled,245,0,0
63189a58ddaca31c0f993e67,LY9109,ELY9109,TLV,LLBG,3,,2022-09-08 05:05,LIS,LPPT,2022-09-08 09:05,scheduled,360,0,0
63189a58ddaca31c0f993e68,TP1604,TAP1604,TLV,LLBG,3,,2022-09-08 05:05,LIS,LPPT,2022-09-08 09:05,scheduled,360,0,0
63189a58ddaca31c0f993e69,IB5775,IBE5775,TLV,LLBG,3,,2022-09-08 05:10,BCN,LEBL,2022-09-08 08:55,scheduled,285,0,0
63189a58ddaca31c0f993e6a,VY7845,VLG7845,TLV,LLBG,3,,2022-09-08 05:10,BCN,LEBL,2022-09-08 08:55,scheduled,285,0,0
63189a58ddaca31c0f993e6b,AZ809,ITY809,TLV,LLBG,3,,2022-09-08 05:15,FCO,LIRF,2022-09-08 08:00,scheduled,225,0,0
63189a58ddaca31c0f993e6c,DL6655,DAL6655,TLV,LLBG,3,,2022-09-08 05:15,FCO,LIRF,2022-09-08 08:00,scheduled,225,0,0
63189a58ddaca31c0f993e6d,JU7380,ASL7380,TLV,LLBG,3,,2022-09-08 05:15,FCO,LIRF,2022-09-08 08:00,scheduled,225,0,0
63189a58ddaca31c0f993e6e,AA8789,AAL8789,TLV,LLBG,3,,2022-09-08 05:30,MAD,LEMD,2022-09-08 09:55,scheduled,325,0,0
63189a58ddaca31c0f993e6f,IB3317,IBE3317,TLV,LLBG,3,,2022-09-08 05:30,MAD,LEMD,2022-09-08 09:55,scheduled,325,0,0
63189a58ddaca31c0f993e70,LY8397,ELY8397,TLV,LLBG,3,,2022-09-08 05:30,MAD,LEMD,2022-09-08 09:55,scheduled,325,0,0
63189a58ddaca31c0f993e71,VY5270,VLG5270,TLV,LLBG,3,,2022-09-08 05:30,MAD,LEMD,2022-09-08 09:55,scheduled,325,0,0
63189a58ddaca31c0f993e72,6H7767,ISR7767,TLV,LLBG,3,,2022-09-08 05:35,PRG,LKPR,2022-09-08 08:40,scheduled,245,0,0
63189a58ddaca31c0f993e73,OK5289,CSA5289,TLV,LLBG,3,,2022-09-08 05:35,PRG,LKPR,2022-09-08 08:40,scheduled,245,0,0
63189a58ddaca31c0f993e74,QS1287,TVS1287,TLV,LLBG,3,,2022-09-08 05:35,PRG,LKPR,2022-09-08 08:40,scheduled,245,0,0
63189a58ddaca31c0f993e75,AA8389,AAL8389,TLV,LLBG,3,,2022-09-08 05:50,BCN,LEBL,2022-09-08 09:30,scheduled,280,0,0
63189a58ddaca31c0f993e76,AA8398,AAL8398,TLV,LLBG,3,,2022-09-08 05:50,CDG,LFPG,2022-09-08 09:50,scheduled,300,0,0
63189a58ddaca31c0f993e77,AM7867,AMX7867,TLV,LLBG,3,,2022-09-08 05:50,CDG,LFPG,2022-09-08 09:50,scheduled,300,0,0
63189a58ddaca31c0f993e78,IB2392,IBE2392,TLV,LLBG,3,,2022-09-08 05:50,BCN,LEBL,2022-09-08 09:30,scheduled,280,0,0
63189a58ddaca31c0f993e79,LY319,ELY319,TLV,LLBG,3,,2022-09-08 05:50,CDG,LFPG,2022-09-08 09:50,scheduled,300,0,0
63189a58ddaca31c0f993e7a,LY393,ELY393,TLV,LLBG,3,,2022-09-08 05:50,BCN,LEBL,2022-09-08 09:30,scheduled,280,0,0
63189a58ddaca31c0f993e7b,TO3441,TVF3441,TLV,LLBG,3,,2022-09-08 05:55,ORY,LFPO,2022-09-08 09:55,scheduled,300,0,0
63189a58ddaca31c0f993e7c,AA8388,AAL8388,TLV,LLBG,3,,2022-09-08 06:05,FCO,LIRF,2022-09-08 08:45,scheduled,220,0,0
63189a58ddaca31c0f993e7d,AR7877,ARG7877,TLV,LLBG,3,,2022-09-08 06:05,FCO,LIRF,2022-09-08 08:45,scheduled,220,0,0
63189a58ddaca31c0f993e7e,LY385,ELY385,TLV,LLBG,3,,2022-09-08 06:05,FCO,LIRF,2022-09-08 08:45,scheduled,220,0,0
63189a58ddaca31c0f993e7f,TP8898,TAP8898,TLV,LLBG,3,,2022-09-08 06:05,FCO,LIRF,2022-09-08 08:45,scheduled,220,0,0
63189a58ddaca31c0f993e80,AA8378,AAL8378,TLV,LLBG,3,,2022-09-08 06:10,AMS,EHAM,2022-09-08 10:15,scheduled,305,0,0
63189a58ddaca31c0f993e81,LY337,ELY337,TLV,LLBG,3,,2022-09-08 06:10,AMS,EHAM,2022-09-08 10:15,scheduled,305,0,0
63189a58ddaca31c0f993e82,OS860,AUA860,TLV,LLBG,3,,2022-09-08 06:15,VIE,LOWW,2022-09-08 09:00,scheduled,225,0,0
63189a58ddaca31c0f993e83,LY2371,ELY2371,TLV,LLBG,3,,2022-09-08 06:20,BER,EDDB,2022-09-08 09:40,scheduled,260,0,0
63189a58ddaca31c0f993e85,LY25,ELY25,TLV,LLBG,3,,2022-09-08 06:30,EWR,KEWR,2022-09-08 11:20,scheduled,710,0,0
63189a58ddaca31c0f993e86,AM7699,AMX7699,TLV,LLBG,3,,2022-09-08 06:35,LHR,EGLL,2022-09-08 10:10,scheduled,335,0,0
63189a58ddaca31c0f993e87,DL5936,DAL5936,TLV,LLBG,3,,2022-09-08 06:35,LHR,EGLL,2022-09-08 10:10,scheduled,335,0,0
63189a58ddaca31c0f993e88,VS454,VIR454,TLV,LLBG,3,,2022-09-08 06:35,LHR,EGLL,2022-09-08 10:10,scheduled,335,0,0
63189a58ddaca31c0f993e89,AA8391,AAL8391,TLV,LLBG,3,,2022-09-08 06:40,MAD,LEMD,2022-09-08 11:00,scheduled,320,0,0
63189a58ddaca31c0f993e8a,AM7879,AMX7879,TLV,LLBG,3,,2022-09-08 06:40,MAD,LEMD,2022-09-08 11:00,scheduled,320,0,0
63189a58ddaca31c0f993e8b,AR7871,ARG7871,TLV,LLBG,3,,2022-09-08 06:40,MAD,LEMD,2022-09-08 11:00,scheduled,320,0,0
63189a58ddaca31c0f993e8c,IB2394,IBE2394,TLV,LLBG,3,,2022-09-08 06:40,MAD,LEMD,2022-09-08 11:00,scheduled,320,0,0
